super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,region,female,k_married,par_mean,par_rank,k_mean,k_median_nozero,k_0inc,k_q1,k_q5,k_top1pc,tier_name,type,iclevel,public,barrons,sat_avg_2013,sat_avg_2001,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000
3691,Middlebury College,Burlington,VT,219600,61800,2.3217955,21.107145,54.600014,7.4344501,1.2677006,0.17261273,0.38808295,1.7281631,589.6666666666666,Northeast,0.52345955,0.60015309,551968.1541478236,0.8459103244586877,98359.42873798756,66100,0.074545205,0.080736347,0.55362695,0.11343364,Other elite schools (public and private),private non-profit,4-year,private,1 - Elite,1365.0,,45957.313,19550.0,0.93603744149766,7357.0,0.82840002,0.035844009,0.015893098,0.035844009,0.088229559
33953,International Career Development Center,Los Angeles,CA,29500,16700,46.069683,0.0505221,2.7495761,0.65288138,1.266721,0.30078042,-10.323706,-10.289733,215.0,West,0.73023254,0.23218314,36129.47395833334,0.2551170587539673,18241.47721354167,20700,0.21532619,0.25523934,0.031158561,0.0032176219,Two-year for-profit,for-profit,2-year,private,999 - Non-selective,,,,,0.5872269836881393,23731.0,,0.040540539,0.25675675,0.34054053,0.0027027028
3116,University Of Rio Grande,Athens,OH,60300,27900,15.158608,0.3823643,8.3491344,0.027169432,1.2656126,0.0041185077,5.7207217,9.1454973,356.3333333333333,Midwest,0.57249767,0.59015089,70319.68712728017,0.4885035161106691,32234.43096826766,34400,0.14358,0.1595834,0.14276952,0.0010003372,Selective private,private non-profit,4-year,private,5 - Selective,,,21930.0,8856.0,0.4521072796934866,26195.0,,0.0025853154,0.012926577,0.0031023785,0.023784902
2976,University Of North Carolina - Greensboro,Greensboro,NC,88700,36800,6.7847729,1.0757326,18.644909,0.83428991,1.2650148,0.05660468,1.6826998,4.3198152,1838.666666666667,South,0.6992386,0.56667459,110261.524865165,0.6433840308006126,39299.9142069661,38900,0.092694536,0.10099237,0.20551267,0.0055589657,Selective public,public,4-year,public,4 - Selective,1030.0,1030.0,6454.0,2309.0,0.5540929658576718,7392.0,0.3998,0.02482936,0.18725888,0.015431793,0.011079236
6656,College Of Du Page,Chicago,IL,85900,30400,9.6004,0.87067753,13.170688,0.39316872,1.2644387,0.03774577,-0.52687907,-1.083233,2734.0,Midwest,0.48780784,0.44728529,104929.1552098573,0.6175682111444545,34834.71969393898,36100,0.15014061,0.16560887,0.20011374,0.0049836086,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,10981.0,5424.0,0.1585417549809241,6591.0,,0.11097637,0.036761139,0.10137898,0.00017323816
2160,Lesley University,Boston,MA,96100,29500,7.7693195,3.358959,16.269442,0.014081519,1.264025,0.0010940381,-3.1073651,-8.8658533,251.0,Northeast,0.75431609,0.44186538,160368.5921314741,0.6688827543777932,33427.68389462982,35600,0.15016513,0.16408136,0.1918717,0.004640508,Selective private,private non-profit,4-year,private,3 - Selective,1085.0,1015.0,24375.0,16455.0,0.4602272727272727,27727.0,0.3251,0.041973908,0.053318206,0.043675553,0.02722632
2227,"Wheaton College of Norton, MA",Providence,MA,117300,46600,3.643702,6.8885036,34.690586,2.4730384,1.2640215,0.090110153,1.2777061,-0.11387705,369.0,Northeast,0.65582657,0.55326259,214708.2362381436,0.7399021067270418,59152.4945058435,51500,0.089942478,0.10412799,0.38748592,0.024490166,Highly selective private,private non-profit,4-year,private,2 - Highly Selective,,,46423.0,24450.0,0.7559808612440191,19202.0,0.3263,0.01899593,0.040705562,0.03256445,0.023744911
11672,Mendocino College,Santa Rosa,CA,51900,21400,20.9736,0.44763595,6.0223365,0.0042102798,1.2631007,0.00088304724,-1.8284101,-3.3609786,482.0,West,0.5,0.41940743,78956.25671572442,0.4615166984694298,27068.71580950683,30600,0.22291532,0.23977448,0.11244372,0.0034571921,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,1422.0,346.0,0.1796407185628743,8453.0,,0.022182388,0.012547614,0.097916201,0.00022406453
1589,Reinhardt University,Atlanta,GA,101500,31100,5.1639771,2.5250447,24.447083,0.049539074,1.2624419,0.0025581864,5.3558869,7.8689756,174.5,South,0.51862466,0.54619956,136475.640625,0.7056257327397665,35515.40364583334,39800,0.13711239,0.15479299,0.17305274,0.0080564255,Selective private,private non-profit,4-year,private,4 - Selective,992.5,,19196.0,8250.0,0.2820512820512821,17738.0,0.486,0.0090252711,0.034296028,0.008122744,0.03700361
22171,Pima Medical Institute,Tucson,AZ,44500,22700,24.309835,0.12976605,5.1826253,0.028807467,1.2598877,0.0070030475,-7.4404745,-10.312548,812.6666666666666,West,0.88720262,0.40590343,57655.77800707547,0.4210338671252413,24471.77760170991,28600,0.16838951,0.18957384,0.071820557,0.0013997519,Four-year for-profit,for-profit,4-year,private,999 - Non-selective,,,,,0.6311365619545429,17040.154,,0.064017922,0.044678289,0.31218264,0.0
2685,Cazenovia College,Syracuse,NY,64200,28800,12.06156,0.59913445,10.443832,0.11804344,1.2596891,0.014237879,-5.6095881,-15.05931,202.6666666666667,Northeast,0.71875,0.49504784,95134.14936266448,0.53307089170343,33215.49753289474,31700,0.11406548,0.1321857,0.15777998,0.0072633619,Selective private,private non-profit,4-year,private,4 - Selective,,905.0,30560.0,,0.5875,10289.0,0.22050001,0.0041493778,0.058091287,0.030082988,0.0041493778
3165,Oklahoma Christian University,Oklahoma City,OK,88100,36100,6.1223664,0.89625686,20.564335,0.0,1.2590239,0.0,-2.0941031,-4.0658107,374.6666666666667,South,0.50622773,0.77539432,105626.3338940169,0.6670244393399601,42572.86914757562,41100,0.11239245,0.12297259,0.28025755,0.012539311,Selective private,private non-profit,4-year,private,4 - Selective,1080.0,,19120.0,,0.4875239923224568,15253.0,0.36790001,,,,
3519,Rhodes College,Memphis,TN,164400,52000,2.1719658,15.42792,57.892883,22.304907,1.2574136,0.48445496,1.0032012,1.2544314,341.0,South,0.56793743,0.62773508,327167.9163306452,0.828914981958104,69649.47651667889,57200,0.095720373,0.10570268,0.4558695,0.065409094,Highly selective private,private non-profit,4-year,private,2 - Highly Selective,1290.0,1295.0,41572.0,19503.0,0.7831858407079646,17008.0,0.42359999,0.024739584,0.042317707,0.016927084,0.013020833
3265,Franklin & Marshall College,Reading,PA,162900,57800,2.2225802,10.822622,56.465912,0.28715113,1.2550002,0.0063821645,0.30293098,-0.32457972,414.6666666666667,Northeast,0.48954985,0.57183206,281373.8708551045,0.8125556119960221,70874.24340584807,61400,0.079402074,0.091610968,0.51428568,0.052339256,Other elite schools (public and private),private non-profit,4-year,private,1 - Elite,,1270.0,48514.0,24866.0,0.8734622144112478,10475.0,0.60689998,0.036997885,0.030655392,0.024841437,0.078752644
7694,College Of Lake County,Chicago,IL,88400,33800,7.9248133,1.0406518,15.827456,0.25123525,1.2542963,0.019909924,0.86663812,1.5150982,1639.0,Midwest,0.51840556,0.46586972,109431.4580759355,0.635388672036661,37235.50332869382,38200,0.11782426,0.13199142,0.22158602,0.0026421719,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,7770.0,7770.0,0.1674958540630182,3304.0,,0.050342776,0.08385846,0.1870369,0.050550517
2453,Central Methodist University,Columbia,MO,66000,36200,8.483429,0.12327642,14.772187,4.1195927,1.253188,0.34948272,-1.9074954,-9.1476955,192.0,Midwest,0.51215279,0.66388357,77169.68937852647,0.5519496543953816,40218.28670247396,38100,0.10387301,0.10579874,0.19185443,0.0074736653,Selective private,private non-profit,4-year,private,4 - Selective,1050.0,,21830.0,11760.0,0.4402985074626866,14783.0,0.34940001,0.0042662118,0.085324235,0.010238908,0.0051194541
7692,Moraine Valley Community College,Chicago,IL,87200,36100,7.4572144,0.49873158,16.800831,0.19203448,1.2528741,0.014320424,4.9652205,8.5311842,2442.666666666667,Midwest,0.50818777,0.49421161,96941.54330457664,0.6279748647217537,39896.85570382864,41100,0.13453761,0.14809905,0.26698282,0.0030044464,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,8766.0,5822.0,0.2047619047619048,3368.0,,0.015263645,0.05504163,0.069919825,0.050339192
2914,Catawba College,Charlotte,NC,94000,42000,5.7591319,1.1009105,21.742613,0.13912006,1.2521857,0.0080121076,2.5272806,2.1375744,194.0,South,0.51546389,0.58018452,109748.8177083333,0.6711183389027915,43134.38671875,43500,0.094068788,0.097734205,0.231361,0.0025738648,Selective private,private non-profit,4-year,private,4 - Selective,,995.0,27360.0,,0.5263157894736842,18575.0,0.59420002,0.0060468633,0.15721844,0.015117158,0.012849584
4004,John Tyler Community College,Richmond,VA,79900,29900,9.314249,0.33906385,13.443335,0.0,1.2521456,0.0,1.8239787,2.1112769,835.3333333333334,South,0.51636076,0.42337447,88274.30648942538,0.5943715351396623,32235.28361463737,33700,0.12198486,0.13584074,0.15556259,0.00097936159,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,4150.0,951.0,0.1418604651162791,5234.0,,0.021000382,0.23520428,0.021573119,0.0011454754
3209,Western Oregon University,Eugene,OR,86900,40800,5.7862887,0.66857296,21.63822,0.77579421,1.2520498,0.044889692,0.90083086,1.6432488,683.6666666666666,West,0.61823499,0.68076915,101204.0731769564,0.6405516037238859,41562.51484222635,43900,0.10274413,0.11220481,0.25424844,0.0046582809,Selective public,public,4-year,public,4 - Selective,1015.0,980.0,9105.0,3342.0,0.4443231441048036,15105.0,0.118,0.029040705,0.01333016,0.043084979,0.015710546
1700,Judson University,Chicago,IL,83000,35900,6.1773849,1.2225869,20.258167,0.0,1.2514249,0.0,-2.767971,-7.1848011,158.0,Midwest,0.54219407,0.71100515,112884.7663337289,0.6454425949587601,38414.74886273734,40200,0.1431261,0.15662499,0.22103661,0.0065176603,Selective private,private non-profit,4-year,private,4 - Selective,1135.0,,27530.0,13825.0,0.5,17064.0,0.2931,0.0054005398,0.04050405,0.043204319,0.028802881
6788,Tompkins Cortland Community College,Elmira,NY,58900,27200,14.997766,0.18442045,8.3348341,0.019826185,1.2500391,0.0029734848,1.108542,-0.63964063,593.0,Northeast,0.52670038,0.44374195,70535.23826587971,0.4941008877492876,29687.31193020131,31000,0.13408267,0.1515885,0.12506938,0.0012357117,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,5491.0,2847.0,0.2215962441314554,7024.0,,0.022438295,0.037771128,0.019446522,0.029917726
1606,Brigham Young University - Hawaii,Honolulu,HI,93200,22600,5.1140194,1.0180928,24.442205,9.4017162,1.249979,0.48080558,-1.1493356,0.97462237,184.5,West,0.57452577,0.77676529,120099.5234375,0.6779643297195435,35057.53515625,39900,0.24281821,0.27522022,0.21913333,0.013552658,Selective private,private non-profit,4-year,private,3 - Selective,1070.0,,4940.0,2988.0,0.4702970297029703,8239.0,0.63959998,0.15384616,0.0033999151,0.014449638,0.38419038
